"YearMonth","distance"
"2011-01",11251
"2011-02",8810.9
"2011-03",5032.1
"2011-04",6367.8
"2011-07",32238.8
"2011-08",23952.2
"2011-09",2037.3
"2011-11",13062.7
"2012-07",10608.7
"2012-08",8309.7
"2012-09",15632.8
"2012-10",27706.1
"2012-11",12607.1
"2012-12",12786
"2013-01",36941.2
"2013-02",27431.3
"2013-03",34864.4
"2013-04",8045.1
"2013-05",39278
"2013-06",23273.5
"2013-09",5000
"2013-10",7498.2
"2013-11",24533
"2014-01",25290.7
"2014-02",6092.5
"2014-03",34028.3
"2014-04",36529.5
"2014-05",11942.2
"2014-06",42234.4
"2014-07",23653
"2014-08",44161.7
"2014-09",30432.2
"2014-10",3323.4
"2015-01",2020
"2015-03",5652.3
"2015-04",12384.1
"2015-07",7596.6
"2015-11",5765
"2015-12",71951.1
"2016-01",114487.1
"2016-02",88687.4
"2016-03",52761.1
"2016-05",14002.5
"2016-06",19905.4
"2016-07",13198.3
"2016-08",29695.4
"2016-11",6964.1
"2016-12",3957.1
"2017-01",21351.7
"2017-02",13336.4
"2017-05",4256.7
"2017-06",4039.2
"2017-09",1278.7
"2017-10",3371.5
"2017-11",27039.2
"2018-01",13458.2
"2018-03",10002.9
"2018-04",3511.7
"2018-05",1738.2
"2018-06",13620.4
"2018-07",10677.6
"2018-09",2538.6
"2018-11",797.2
"2019-01",1279.5
"2019-04",11834.7
"2019-05",24252.9
"2019-06",55311.2
"2019-07",59060.8
"2019-08",94009.6
"2019-09",116454.9
"2019-10",36814.1
"2019-11",18177
"2019-12",23336.6
"2020-01",54772.7
"2020-02",62569.2
"2020-03",81843
"2020-04",98163.9
"2020-05",99989
"2020-06",119590.2
"2020-07",124487.1
"2020-08",105852.9
"2020-09",97312.5
"2020-10",37319
"2020-11",1419
"2020-12",3272.8
"2021-01",3017.1
"2021-02",25615.3
"2021-03",25857.4
"2021-04",41482.3
"2021-05",20241.2
"2021-06",18033.2
"2021-07",31398
"2021-08",42093.2
"2021-09",47785.2
"2021-10",73008
"2021-11",121023.8
"2021-12",86977.1
"2022-01",138185.6
"2022-02",8533.9
"2022-03",99179.9
"2022-04",100128.4
"2022-05",96147.2
"2022-06",81477.8
"2022-07",69408.4
"2022-08",104355.3
"2022-09",111068.6
"2022-10",76536
"2022-11",108435.1
"2022-12",65619
"2023-01",126700.6
"2023-02",84247.6
"2023-03",82805.1
"2023-04",75793.3
"2023-05",46358.2
"2023-06",57936.6
"2023-07",55315.9
"2023-08",73128.6
"2023-09",13887.4
"2023-10",23580.4
"2023-11",12231.2
"2023-12",22907.7
"2024-01",18685.5
"2024-02",25215.6
"2024-03",65639.6
"2024-04",102113.6
"2024-05",124683.3
"2024-06",114763.1
"2024-07",139135.5
"2024-08",134937.7
"2024-09",112654.7
"2024-10",91214.8
"2024-11",83534.2
"2024-12",39583.1
"2025-01",168110
"2025-02",117129.4
"2025-03",212716.2
"2025-04",178691
"2025-05",106072
"2025-06",163656.2
"2025-07",128604
