"Year","Week","TotalDistance"
2011,1,2.1306
2011,2,2.205
2011,3,4.6336
2011,4,2.2818
2011,5,2.4244
2011,6,3.1116
2011,7,1.6251
2011,8,1.6498
2011,9,0
2011,10,1.4403
2011,11,0
2011,12,0
2011,13,3.5918
2011,14,0
2011,15,0
2011,16,3.0283
2011,17,3.3395
2011,18,0
2011,19,0
2011,20,0
2011,21,0
2011,22,0
2011,23,0
2011,24,0
2011,25,0
2011,26,3.1812
2011,27,5.3716
2011,28,0
2011,29,8.0973
2011,30,15.5887
2011,31,10.3454
2011,32,0
2011,33,4.2356
2011,34,9.3712
2011,35,2.0373
2011,36,0
2011,37,0
2011,38,0
2011,39,0
2011,40,0
2011,41,0
2011,42,0
2011,43,0
2011,44,13.0627
2011,45,0
2011,46,0
2011,47,0
2011,48,0
2011,49,0
2011,50,0
2011,51,0
2011,52,0
2011,53,0
2012,1,0
2012,2,0
2012,3,0
2012,4,0
2012,5,0
2012,6,0
2012,7,0
2012,8,0
2012,9,0
2012,10,0
2012,11,0
2012,12,0
2012,13,0
2012,14,0
2012,15,0
2012,16,0
2012,17,0
2012,18,0
2012,19,0
2012,20,0
2012,21,0
2012,22,0
2012,23,0
2012,24,0
2012,25,0
2012,26,0
2012,27,0
2012,28,4.9339
2012,29,0
2012,30,5.6748
2012,31,0
2012,32,0
2012,33,0
2012,34,5.112
2012,35,3.1977
2012,36,7.2295
2012,37,2.9091
2012,38,5.4942
2012,39,0
2012,40,0
2012,41,9.8453
2012,42,10.6901
2012,43,0
2012,44,12.3169
2012,45,7.4609
2012,46,0
2012,47,0
2012,48,0
2012,49,5.1443
2012,50,0
2012,51,7.6417
2012,52,0
2012,53,0
2013,1,11.5807
2013,2,7.1071
2013,3,13.2534
2013,4,5
2013,5,0
2013,6,3.45
2013,7,5.01
2013,8,8.4002
2013,9,10.5711
2013,10,10.2385
2013,11,0
2013,12,14.5228
2013,13,10.1031
2013,14,0
2013,15,2.5854
2013,16,5.4597
2013,17,0
2013,18,8.2803
2013,19,7.9656
2013,20,10.1359
2013,21,2.5462
2013,22,20.5687
2013,23,8.247
2013,24,0
2013,25,4.8078
2013,26,0
2013,27,0
2013,28,0
2013,29,0
2013,30,0
2013,31,0
2013,32,0
2013,33,0
2013,34,0
2013,35,0
2013,36,5
2013,37,0
2013,38,0
2013,39,0
2013,40,0
2013,41,0
2013,42,0
2013,43,7.4982
2013,44,9.1767
2013,45,0
2013,46,15.3563
2013,47,0
2013,48,0
2013,49,0
2013,50,0
2013,51,0
2013,52,0
2013,53,0
2014,1,9.0773
2014,2,11.066
2014,3,0
2014,4,5.1474
2014,5,6.0925
2014,6,0
2014,7,0
2014,8,0
2014,9,2.6449
2014,10,0
2014,11,0
2014,12,12.3036
2014,13,19.0798
2014,14,4.362
2014,15,6.0896
2014,16,15.3132
2014,17,4.6653
2014,18,6.0994
2014,19,11.9422
2014,20,0
2014,21,0
2014,22,0
2014,23,0
2014,24,12.7524
2014,25,15.4072
2014,26,14.0748
2014,27,0
2014,28,0
2014,29,6.9502
2014,30,0
2014,31,30.7062
2014,32,24.5965
2014,33,5.5618
2014,34,0
2014,35,0
2014,36,0
2014,37,12.2786
2014,38,15.8433
2014,39,0
2014,40,2.3103
2014,41,0
2014,42,0
2014,43,3.3234
2014,44,0
2014,45,0
2014,46,0
2014,47,0
2014,48,0
2014,49,0
2014,50,0
2014,51,0
2014,52,0
2014,53,0
2015,1,0
2015,2,0
2015,3,0
2015,4,0
2015,5,2.02
2015,6,0
2015,7,0
2015,8,0
2015,9,0
2015,10,0
2015,11,0
2015,12,2.5704
2015,13,3.0819
2015,14,0
2015,15,2.59
2015,16,3.1402
2015,17,0
2015,18,6.6539
2015,19,0
2015,20,0
2015,21,0
2015,22,0
2015,23,0
2015,24,0
2015,25,0
2015,26,0
2015,27,3.4833
2015,28,4.1133
2015,29,0
2015,30,0
2015,31,0
2015,32,0
2015,33,0
2015,34,0
2015,35,0
2015,36,0
2015,37,0
2015,38,0
2015,39,0
2015,40,0
2015,41,0
2015,42,0
2015,43,0
2015,44,0
2015,45,0
2015,46,0
2015,47,0
2015,48,5.765
2015,49,10.6715
2015,50,13.0627
2015,51,22.7434
2015,52,25.4735
2015,53,6.1083
2016,1,24.969
2016,2,32.3699
2016,3,32.339
2016,4,18.7009
2016,5,38.8481
2016,6,18.7883
2016,7,31.051
2016,8,0
2016,9,4.8156
2016,10,10.1051
2016,11,11.6547
2016,12,26.1857
2016,13,0
2016,14,0
2016,15,0
2016,16,0
2016,17,0
2016,18,0
2016,19,0
2016,20,4.5874
2016,21,9.4151
2016,22,0
2016,23,0
2016,24,7.1561
2016,25,7.9811
2016,26,9.7116
2016,27,0
2016,28,8.2549
2016,29,0
2016,30,0
2016,31,7.0235
2016,32,13.687
2016,33,8.9849
2016,34,0
2016,35,0
2016,36,0
2016,37,0
2016,38,0
2016,39,0
2016,40,0
2016,41,0
2016,42,0
2016,43,0
2016,44,0
2016,45,0
2016,46,2.4026
2016,47,4.5615
2016,48,0
2016,49,0
2016,50,3.9571
2016,51,0
2016,52,5.1032
2016,53,0
2017,1,4.157
2017,2,5.1836
2017,3,0
2017,4,6.9079
2017,5,6.2287
2017,6,0
2017,7,7.1077
2017,8,0
2017,9,0
2017,10,0
2017,11,0
2017,12,0
2017,13,0
2017,14,0
2017,15,0
2017,16,0
2017,17,0
2017,18,4.2567
2017,19,0
2017,20,0
2017,21,0
2017,22,0
2017,23,4.0392
2017,24,0
2017,25,0
2017,26,0
2017,27,0
2017,28,0
2017,29,0
2017,30,0
2017,31,0
2017,32,0
2017,33,0
2017,34,0
2017,35,0
2017,36,0
2017,37,0
2017,38,1.2787
2017,39,0
2017,40,0
2017,41,0
2017,42,3.3715
2017,43,0
2017,44,5.0336
2017,45,11.8232
2017,46,3.5329
2017,47,3.3205
2017,48,3.329
2017,49,0
2017,50,0
2017,51,0
2017,52,0
2017,53,0
2018,1,2.5537
2018,2,2.8358
2018,3,4.0402
2018,4,4.0285
2018,5,0
2018,6,0
2018,7,0
2018,8,0
2018,9,0
2018,10,0
2018,11,2.9444
2018,12,3.0325
